category,manufacturer,model,part,part_category
 Roller Parts ,Ammann , ASC100 ,ND011710,LEFT COVER
 Off Road Truck Parts ,Moxy , DA30 ,10151200022,CONE
 Excavator Parts ,FAI , 212 ,200013162,"FRAME, REVOLVING"
 Roller Parts ,Bomag , BW100 ,10150402,Fluid level gauge
 Loader Parts ,Kawasaki , 45Z IV ,0050400150,"CHASSIS ASSY,FRONT"
 Backhoe Parts ,Komatsu ,  WB91R-1 ,200040597,"REAR AXLE, ASSY"
 Crane Parts ,Hyundai , HC25E ,0002010601051,BOLT
 Backhoe Parts ,Bell , 315 SJ ,RE532627,Pump
 Backhoe Parts ,JCB , 1CX ,01/145131,"Engine complete, 404C-22 nat/aspirated, 50bhp"
 Backhoe Parts ,Volvo , BL60 ,11200430,Plate
 Other Parts ,Atlas-Copco , ROC F9-11 ,0017 2060 40,"CABLE, 1-CORE"
 Excavator Parts ,Atlas , 1304M ,1002195,O-RING
 Excavator Parts ,Doosan , DX140LCR ,1.10900025,"BEARING,BALL"
 Backhoe Parts ,Hitachi , BX70 ,1090001331,BOLT; GEN
